ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2008,6,LA ESTRELLA,FERNANDEZ MORI GASTON OCTAVIO,IND,1206,2393,50.40
2008,6,LAS CABRAS,FABIA REYES JAIME EUGENIO,IND,5043,10523,47.92
2008,6,LITUECHE,CORNEJO CERON JOSE BERNARDO,DC,1721,3884,44.31
2008,6,LOLOL,MARIN RODRIGUEZ MARCO ANTONIO,IND,2325,4131,56.28
2008,6,MACHALI,URRUTIA CELIS JOSE MIGUEL,UDI,5422,13534,40.06
2008,6,MALLOA,BARRA VILLANUEVA LUIS,PPD,3335,7472,44.63
2008,6,MARCHIGUE,FLORES PEÑALOZA HECTOR HERNAN,UDI,2784,4375,63.63
2008,6,MOSTAZAL,MEDEL ACOSTA SERGIO,IND,4857,9906,49.03
2008,6,NANCAGUA,ESCANILLA GAETE EDUARDO,PPD,2697,8554,31.53
2008,6,NAVIDAD,MALDONADO MONDACA HORACIO,PPD,2121,3541,59.90
2008,6,OLIVAR,MONTERO CARRASCO MARIA ESTRELLA,IND,3458,6639,52.09
2008,6,PALMILLA,CABRERA MARAMBIO NELSON,PPD,2951,5570,52.98
2008,6,PAREDONES,ORMAZABAL LOPEZ SAMMY,PPD,2463,3789,65.00
2008,6,PERALILLO,CORNEJO PEREZ GERARDO,IND,2940,5705,51.53
2008,6,PEUMO,CARREÑO CARREÑO FERMIN ALEJANDRO,IND,2962,7250,40.86
2008,6,PICHIDEGUA,CERON GONZALEZ RUBEN ADOLFO,PRSD,3922,9032,43.42
2008,6,PICHILEMU,CABRERA MARTINEZ MARCELO,IND,3017,7170,42.08
2008,6,PLACILLA,SILVA SANCHEZ LUIS GONZALO,IND,2696,5135,52.50
2008,6,PUMANQUE,JORQUERA GONZALEZ JORGE,IND,1186,2572,46.11
2008,6,QUINTA DE TILCOCO,BARRIOS OROSTEGUI NELSON,PPD,4457,7509,59.36
2008,6,RANCAGUA,SOTO ROMERO EDUARDO PATRICIO,UDI,36385,82513,44.10
2008,6,RENGO,GATICA MUÑOZ MARCOS GREGORIO,RN,11135,22351,49.82
2008,6,REQUINOA,SILVA VARGAS LUIS ANTONIO,IND,4671,10804,43.23
2008,6,SAN FERNANDO,MOLINA CONTRERAS JUAN PAULO,DC,18549,29358,63.18
2008,6,SAN VICENTE,TRONCOSO HELLMAN VIRGINIA EUGENIA,UDI,10757,20286,53.03
2008,6,SANTA CRUZ,VALENZUELA VALENZUELA HECTOR ORLANDO,IND,7036,16284,43.21
2008,7,CAUQUENES,MUÑOZ ROJAS JUAN CARLOS,RN,11426,20735,55.10
2008,7,CHANCO,DIAZ MEZA VIVIANA ESCARLETTE,RN,3176,6456,49.19
2008,7,COLBUN,MUÑOZ OSES PEDRO PABLO,IND,1946,9087,21.42
2008,7,CONSTITUCION,TILLERIA TORRES HUGO,IND,5830,19618,29.72
2008,7,CUREPTO,GONZALEZ AGUILAR ARMANDO,RN,3497,6144,56.92
2008,7,CURICO,REY MARTINEZ HUGO,UDI,24464,50337,48.60
2008,7,EMPEDRADO,TEJOS PEREZ GONZALO ANTONIO,IND,1571,2898,54.21
2008,7,HUALAÑE,PUCHER LIZAMA CLAUDIO,RN,2914,5688,51.23
2008,7,LICANTEN,QUIERO PALACIOS HECTOR,UDI,2384,4413,54.02
2008,7,LINARES,RENTERIA MOLLER ROLANDO,UDI,20185,37673,53.58
2008,7,LONGAVI,MENCHACA PINOCHET CRISTIAN,UDI,7058,14254,49.52
2008,7,MAULE,RIVEROS CERDA IVAN,IND,5771,8882,64.97
2008,7,MOLINA,SEGURA OVALLE MIRTHA,UDI,9899,20421,48.47
2008,7,PARRAL,URRUTIA ESCOBAR ISRAEL ANTONIO,DC,10978,19378,56.65
2008,7,PELARCO,PEREZ LEIVA ALFREDO,IND,2326,4604,50.52
2008,7,PELLUHUE,REYES ORELLANA MARIA LUZ,RN,1844,4499,40.99
2008,7,PENCAHUE,LARA LEIVA LUCY,RN,3355,6634,50.57
