ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2004,5,PUTAENDO,MARTINEZ JARUFE ROBERTO,RN,3052,7039,43.36
2004,5,QUILLOTA,MELLA GAJARDO LUIS,PDC,18562,33066,56.14
2004,5,QUILPUE,VIÑAMBRES ADASME MAURICIO,PS,21946,49098,44.70
2004,5,QUINTERO,VARGAS VERDEJO RAUL ANTONIO,IND,4988,10547,47.29
2004,5,RINCONADA,GALDAMES CARMONA JUAN,UDI,2481,4498,55.16
2004,5,SAN ANTONIO,VERA CASTRO OMAR,IND,14275,38555,37.03
2004,5,SAN ESTEBAN,MARDONES VALENCIA RENE,IND,2985,7146,41.77
2004,5,SAN FELIPE,AMAR AMAR JAIME ROBINSON,RN,14812,26506,55.88
2004,5,SANTA MARIA,ZURITA IBARRA CLAUDIO,PPD,4158,6618,62.83
2004,5,SANTO DOMINGO,RODRIGUEZ VICUÑA FERNANDO,RN,4528,6055,74.78
2004,5,VALPARAISO,CORNEJO GONZALEZ ALDO,PDC,63230,122405,51.66
2004,5,VILLA ALEMANA,BUSTAMANTE BERTOGLIO RAUL,UDI,14810,32568,45.47
2004,5,VIÑA DEL MAR,REGINATO BOZZO VIRGINIA,UDI,61686,128824,47.88
2004,5,ZAPALLAR,COX URREJOLA NICOLAS,RN,2133,3865,55.19
2004,6,CHEPICA,RODRIGUEZ CRUZ MIRIAM,PS,3546,7543,47.01
2004,6,CHIMBARONGO,MELLADO PINO COSME,PDC,9242,15507,59.60
2004,6,CODEGUA,SILVA ACEVEDO JOSE EDUARDO,PDC,3417,5584,61.19
2004,6,COINCO,VALENZUELA ABARCA GREGORIO,RN,2146,3822,56.15
2004,6,COLTAUCO,VIAL RODRIGUEZ ROSA,IND,3872,7051,54.91
2004,6,DOÑIHUE,BASTIAS ESPINOZA BELISARIO,IND,5981,9351,63.96
2004,6,GRANEROS,DIAZ BURGOS PABLO,PDC,6620,13144,50.37
2004,6,LA ESTRELLA,GONZALEZ BUSSENIUS GASTON,UDI,1091,2419,45.10
2004,6,LAS CABRAS,FABIA REYES JAIME EUGENIO,IND,3625,9888,36.66
2004,6,LITUECHE,CORNEJO CERON JOSE BERNARDO,PDC,1602,3529,45.40
2004,6,LOLOL,MORALES ESPINOZA JOSE MANUEL,PS,2505,3853,65.01
2004,6,MACHALI,ABUD FIGUEROA JUAN,PPD,4177,12900,32.38
2004,6,MALLOA,SILVA EL SALUG EDELMIRA,UDI,3595,7159,50.22
2004,6,MARCHIGUE,FLORES PEÑALOZA HECTOR HERNAN,UDI,1652,4189,39.44
2004,6,MOSTAZAL,BEITIA NAVARRETE MIRENCHU,PDC,3554,9718,36.57
2004,6,NANCAGUA,ESCANILLA GAETE EDUARDO,PPD,4192,8162,51.36
2004,6,NAVIDAD,MALDONADO MONDACA HORACIO,PPD,2321,3668,63.28
2004,6,OLIVAR,MONTERO CARRASCO MARIA ESTRELLA,IND,3262,6331,51.52
2004,6,PALMILLA,CABRERA MARAMBIO NELSON,PPD,3305,5682,58.17
2004,6,PAREDONES,ORMAZABAL LOPEZ SAMMY,PPD,2378,3894,61.07
2004,6,PERALILLO,GUAJARDO LEON FABIAN,PPD,2233,5577,40.04
2004,6,PEUMO,CID CORTES ELIAS,PS,3662,7139,51.30
2004,6,PICHIDEGUA,LYON AMAND DE MENDIETA MARIE JEANNE,UDI,4386,8974,48.87
2004,6,PICHILEMU,VARGAS GONZALEZ JORGE,PDC,2958,6820,43.37
2004,6,PLACILLA,LATORRE MUÑOZ JOAQUIN INOCENCIO,PDC,2517,4751,52.98
2004,6,PUMANQUE,JORQUERA GONZALEZ JORGE,IND,1331,2326,57.22
2004,6,QUINTA DE TILCOCO,BARRIOS OROSTEGUI NELSON,PPD,4534,7315,61.98
2004,6,RANCAGUA,ARELLANO BAEZA CARLOS,PDC,37251,84997,43.83
2004,6,RENGO,VALENCIA GONZALEZ RIENZI GERARDO,IND,9011,22431,40.17
2004,6,REQUINOA,CAVIERES ARAYA RUBEN ANTONIO,UDI,5730,10289,55.69
2004,6,SAN FERNANDO,MOLINA CONTRERAS JUAN PAULO,PDC,12477,29792,41.88
2004,6,SAN VICENTE,TRONCOSO HELLMAN VIRGINIA EUGENIA,UDI,9621,19838,48.50
2004,6,SANTA CRUZ,PIZARRO GAMBOA LIDIA,IND,6200,15308,40.50
2004,7,CAUQUENES,BADILLA EULUFI GUILLERMO,PDC,9080,21217,42.80
2004,7,CHANCO,MUÑOZ MORENO MURIEL,PDC,2518,6453,39.02
2004,7,COLBUN,HEYER GONZALEZ HANS,RN,3994,8998,44.39
2004,7,CONSTITUCION,URRUTIA CONCHA ROBERTO,PDC,8576,19667,43.61
2004,7,CUREPTO,GONZALEZ AGUILAR ARMANDO,RN,2971,5714,52.00
2004,7,CURICO,MORALES MUÑOZ CELSO,UDI,28728,48727,58.96
2004,7,EMPEDRADO,TEJOS PEREZ GONZALO ANTONIO,UDI,1806,2893,62.43
2004,7,HUALAÑE,BAEZA REYES SAMUEL ENRIQUE,PDC,3308,5723,57.80
2004,7,LICANTEN,REYES REYES HECTOR,PS,1556,3985,39.05
2004,7,LINARES,HERMOSILLA GATICA RODRIGO,PS,17909,37812,47.36
